Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Orient Transline,A/C Seater (2+1),07:35,11:00,03h 25m,INR 342.86,14 Seats available,"3.7
101",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,27 Seats available,"4.1
354",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,357,25 Seats available,"4.6
91",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),A/C Seater (2+1),11:15,15:30,04h 15m,INR 450,29 Seats available,3.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 172754,Bharat Benz A/C Seater (2+2),06:10,10:30,04h 20m,INR 298,9 Seats available,"3.9
19",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,26 Seats available,"3.7
321",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,18:00,04h 15m,INR 298,29 Seats available,"3.4
15",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,19:15,04h 00m,INR 298,28 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,10:30,04h 15m,INR 389.13,5 Seats available,"4.4
403",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),07:00,12:00,05h 00m,450,27 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,11:00,04h 00m,INR 485.57,13 Seats available,"4.6
113",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,11:30,04h 00m,INR 389.13,6 Seats available,"4.7
378",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,08:30,12:30,04h 00m,INR 432.06,27 Seats available,"4.6
93",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,15:00,05h 00m,341,26 Seats available,"4.1
292",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),10:30,15:25,04h 55m,351,28 Seats available,"3.7
69",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),11:30,15:30,04h 00m,INR 380.95,22 Seats available,"3.7
315",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),13:00,17:10,04h 10m,INR 380.95,24 Seats available,"4.2
142",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,360,44 Seats available,"4.5
117",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,13:00,02h 30m,INR 191,26 Seats available,"3.8
153",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),13:00,16:00,03h 00m,INR 191,26 Seats available,"4.0
271",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,17:40,02h 25m,INR 191,28 Seats available,"4.6
5",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Kareng Travels,Non AC Seater (2+1),05:00,07:30,02h 30m,INR 300,23 Seats available,"4.7
26",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,09:15,03h 00m,INR 270.01,5 Seats available,"4.7
44",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
NETWORK TRAVELS,NON A/C Seater (2+2),06:30,10:00,03h 30m,INR 350,40 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,09:30,02h 00m,INR 270.01,6 Seats available,"4.7
112",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
JOY HANUMAN,Non AC Seater (2+2),07:40,10:30,02h 50m,INR 200,28 Seats available,"4.2
12",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Pranjit Travels (Under ASTC),A/C Seater (2+1),08:15,11:00,02h 45m,INR 400,37 Seats available,3.1,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,08:30,10:45,02h 15m,INR 324.04,35 Seats available,"4.1
19",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Kareng Travels,A/C Seater (2+1),09:30,13:00,03h 30m,INR 300,22 Seats available,"4.6
11",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
MAA Anada (UNDER ASTC),AC Seater (2+2),09:30,13:00,03h 30m,INR 247.5,38 Seats available,3.3,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,13:30,03h 30m,341,39 Seats available,"3.3
17",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,INR 270,2 Seats available,"3.9
322",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,INR 298,21 Seats available,"4.2
341",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 156885,Bharat Benz A/C Seater (2+2),08:00,12:30,04h 30m,INR 298,20 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 153223,Bharat Benz A/C Seater (2+2),09:15,14:00,04h 45m,INR 298,25 Seats available,"3.6
83",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,INR 298,10 Seats available,"4.6
76",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 140400,Volvo AC Seater 2+2,14:00,18:30,04h 30m,INR 298,20 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,20:00,04h 15m,INR 298,31 Seats available,"3.3
29",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 143958,Bharat Benz A/C Seater (2+2),16:15,20:30,04h 15m,INR 298,30 Seats available,"3.9
95",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,INR 304.2,22 Seats available,"3.2
36",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,340,7 Seats available,"4.6
402",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,19 Seats available,"3.9
234",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,INR 352.38,12 Seats available,"4.4
45",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),06:15,09:40,03h 25m,338,15 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,27 Seats available,"4.2
405",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),07:35,11:00,03h 25m,INR 342.86,14 Seats available,"3.7
101",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,27 Seats available,"4.1
354",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,357,25 Seats available,"4.6
91",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),A/C Seater (2+1),11:15,15:30,04h 15m,INR 450,29 Seats available,3.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 172754,Bharat Benz A/C Seater (2+2),06:10,10:30,04h 20m,INR 298,9 Seats available,"3.9
19",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,26 Seats available,"3.7
321",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,18:00,04h 15m,INR 298,29 Seats available,"3.4
15",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,19:15,04h 00m,INR 298,28 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,10:30,04h 15m,INR 389.13,5 Seats available,"4.4
403",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),07:00,12:00,05h 00m,450,27 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,11:00,04h 00m,INR 485.57,13 Seats available,"4.6
113",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,11:30,04h 00m,INR 389.13,6 Seats available,"4.7
378",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,08:30,12:30,04h 00m,INR 432.06,27 Seats available,"4.6
93",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,15:00,05h 00m,341,26 Seats available,"4.1
292",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),10:30,15:25,04h 55m,351,28 Seats available,"3.7
69",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),11:30,15:30,04h 00m,INR 380.95,22 Seats available,"3.7
315",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Orient Transline,A/C Seater (2+1),13:00,17:10,04h 10m,INR 380.95,24 Seats available,"4.2
142",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,360,44 Seats available,"4.5
117",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,13:00,02h 30m,INR 191,26 Seats available,"3.8
153",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 146146,Bharat Benz A/C Seater (2+2),13:00,16:00,03h 00m,INR 191,26 Seats available,"4.0
271",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,17:40,02h 25m,INR 191,28 Seats available,"4.6
5",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Kareng Travels,Non AC Seater (2+1),05:00,07:30,02h 30m,INR 300,15 Seats available,"4.7
26",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,09:15,03h 00m,INR 270.01,5 Seats available,"4.7
44",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
NETWORK TRAVELS,NON A/C Seater (2+2),06:30,10:00,03h 30m,INR 350,40 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,09:30,02h 00m,INR 270.01,6 Seats available,"4.7
112",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
JOY HANUMAN,Non AC Seater (2+2),07:40,10:30,02h 50m,INR 200,28 Seats available,"4.2
12",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Pranjit Travels (Under ASTC),A/C Seater (2+1),08:15,11:00,02h 45m,INR 400,37 Seats available,3.1,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,08:30,10:45,02h 15m,INR 324.04,35 Seats available,"4.1
19",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Kareng Travels,A/C Seater (2+1),09:30,13:00,03h 30m,INR 300,22 Seats available,"4.6
11",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
MAA Anada (UNDER ASTC),AC Seater (2+2),09:30,13:00,03h 30m,INR 247.5,38 Seats available,3.3,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Mahi Travels(Under ASTC),A/C Seater (2+2),10:00,13:30,03h 30m,341,39 Seats available,"3.3
17",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Guwahati to Nagaon (Assam)
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,INR 270,2 Seats available,"3.9
322",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,INR 298,21 Seats available,"4.2
341",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 156885,Bharat Benz A/C Seater (2+2),08:00,12:30,04h 30m,INR 298,20 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 153223,Bharat Benz A/C Seater (2+2),09:15,14:00,04h 45m,INR 298,25 Seats available,"3.6
83",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,INR 298,10 Seats available,"4.6
76",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 140400,Volvo AC Seater 2+2,14:00,18:30,04h 30m,INR 298,20 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,20:00,04h 15m,INR 298,31 Seats available,"3.3
29",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 143958,Bharat Benz A/C Seater (2+2),16:15,20:30,04h 15m,INR 298,30 Seats available,"3.9
95",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,INR 304.2,22 Seats available,"3.2
36",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,340,7 Seats available,"4.6
402",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,19 Seats available,"3.9
234",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,INR 352.38,12 Seats available,"4.4
45",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),06:15,09:40,03h 25m,338,15 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,27 Seats available,"4.2
405",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),07:35,11:00,03h 25m,INR 342.86,14 Seats available,"3.7
101",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,27 Seats available,"4.1
354",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,357,25 Seats available,"4.6
91",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),A/C Seater (2+1),11:15,15:30,04h 15m,INR 450,29 Seats available,3.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 172754,Bharat Benz A/C Seater (2+2),06:10,10:30,04h 20m,INR 298,10 Seats available,"3.9
19",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,26 Seats available,"3.7
321",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,18:00,04h 15m,INR 298,29 Seats available,"3.4
15",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),15:15,19:15,04h 00m,INR 298,28 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,06:15,10:30,04h 15m,INR 389.13,5 Seats available,"4.4
403",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Yatra Travels,NON A/C Seater (2+1),07:00,12:00,05h 00m,450,27 Seats available,3.7,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,11:00,04h 00m,INR 485.57,13 Seats available,"4.6
113",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,11:30,04h 00m,INR 389.13,6 Seats available,"4.7
378",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
